INFO:root:completed -> 22117-1.pdf -> batchNum: 22117, batchSize: 1
INFO:root:completed -> 22116-1.pdf -> batchNum: 22116, batchSize: 1
INFO:root:completed -> 22118-1.pdf -> batchNum: 22118, batchSize: 1
INFO:root:completed -> 22119-1.pdf -> batchNum: 22119, batchSize: 1
INFO:root:completed -> 22120-1.pdf -> batchNum: 22120, batchSize: 1
INFO:root:completed -> 22121-1.pdf -> batchNum: 22121, batchSize: 1
INFO:root:completed -> 22122-5.pdf -> batchNum: 22122, batchSize: 5
INFO:root:completed -> 22123-1.pdf -> batchNum: 22123, batchSize: 1
INFO:root:completed -> 22124-5.pdf -> batchNum: 22124, batchSize: 5
INFO:root:completed -> 22090-1.pdf -> batchNum: 22090, batchSize: 1
INFO:root:completed -> 22125-1.pdf -> batchNum: 22125, batchSize: 1
INFO:root:completed -> 22126-4.pdf -> batchNum: 22126, batchSize: 4
INFO:root:completed -> 22127-5.pdf -> batchNum: 22127, batchSize: 5
INFO:root:completed -> 22128-5.pdf -> batchNum: 22128, batchSize: 5
INFO:root:completed -> 22129-1.pdf -> batchNum: 22129, batchSize: 1
INFO:root:completed -> 22130-1.pdf -> batchNum: 22130, batchSize: 1
INFO:root:completed -> 22131-1.pdf -> batchNum: 22131, batchSize: 1
INFO:root:completed -> 22132-3.pdf -> batchNum: 22132, batchSize: 3
INFO:root:completed -> 22133-1.pdf -> batchNum: 22133, batchSize: 1
INFO:root:completed -> 22134-1.pdf -> batchNum: 22134, batchSize: 1
INFO:root:completed -> 22135-3.pdf -> batchNum: 22135, batchSize: 3
INFO:root:completed -> 22121-1.pdf -> batchNum: 22121, batchSize: 1
INFO:root:completed -> 22136-5.pdf -> batchNum: 22136, batchSize: 5
INFO:root:completed -> 22137-5.pdf -> batchNum: 22137, batchSize: 5
INFO:root:completed -> 22138-3.pdf -> batchNum: 22138, batchSize: 3
INFO:root:completed -> 22139-1.pdf -> batchNum: 22139, batchSize: 1
INFO:root:completed -> 22140-1.pdf -> batchNum: 22140, batchSize: 1
INFO:root:completed -> 22141-1.pdf -> batchNum: 22141, batchSize: 1
INFO:root:completed -> 22142-1.pdf -> batchNum: 22142, batchSize: 1
INFO:root:completed -> 22143-1.pdf -> batchNum: 22143, batchSize: 1
INFO:root:completed -> 22144-1.pdf -> batchNum: 22144, batchSize: 1
INFO:root:completed -> 22145-1.pdf -> batchNum: 22145, batchSize: 1
INFO:root:completed -> 22146-1.pdf -> batchNum: 22146, batchSize: 1
INFO:root:completed -> 22147-1.pdf -> batchNum: 22147, batchSize: 1
INFO:root:completed -> 22148-1.pdf -> batchNum: 22148, batchSize: 1
INFO:root:completed -> 22149-3.pdf -> batchNum: 22149, batchSize: 3
INFO:root:completed -> 22150-100.pdf -> batchNum: 22150, batchSize: 100
INFO:root:completed -> 22151-50.pdf -> batchNum: 22151, batchSize: 50
INFO:root:completed -> 22152-50.pdf -> batchNum: 22152, batchSize: 50
INFO:root:completed -> 22153-50.pdf -> batchNum: 22153, batchSize: 50
INFO:root:completed -> 22154-50.pdf -> batchNum: 22154, batchSize: 50
INFO:root:completed -> 22155-40.pdf -> batchNum: 22155, batchSize: 40
INFO:root:completed -> 22156-11.pdf -> batchNum: 22156, batchSize: 11
INFO:root:completed -> 22150-40.pdf -> batchNum: 22150, batchSize: 40
INFO:root:completed -> 22157-34.pdf -> batchNum: 22157, batchSize: 34
INFO:root:completed -> 22158-50.pdf -> batchNum: 22158, batchSize: 50
INFO:root:completed -> 22159-10.pdf -> batchNum: 22159, batchSize: 10
INFO:root:completed -> 22160-20.pdf -> batchNum: 22160, batchSize: 20
INFO:root:completed -> 22161-100.pdf -> batchNum: 22161, batchSize: 100
INFO:root:completed -> 22162-3.pdf -> batchNum: 22162, batchSize: 3
INFO:root:completed -> 22163-50.pdf -> batchNum: 22163, batchSize: 50
INFO:root:completed -> 22164-5.pdf -> batchNum: 22164, batchSize: 5
INFO:root:completed -> 22165-50.pdf -> batchNum: 22165, batchSize: 50
INFO:root:completed -> 22166-100.pdf -> batchNum: 22166, batchSize: 100
INFO:root:completed -> 22167-50.pdf -> batchNum: 22167, batchSize: 50
INFO:root:completed -> 22168-30.pdf -> batchNum: 22168, batchSize: 30
INFO:root:completed -> 22169-100.pdf -> batchNum: 22169, batchSize: 100
INFO:root:completed -> 22170-40.pdf -> batchNum: 22170, batchSize: 40
INFO:root:completed -> 22146-1.pdf -> batchNum: 22146, batchSize: 1
